comment_id,true_themes,true_tone
C00859,Leadership & communication,negative
C00860,Inclusion & voice,positive
C00861,Pay & benefits,negative
C00862,Joining & onboarding; Workload & staffing,positive
C00863,Career & progression,negative
C00864,Manager relationship,positive
C00865,Recognition; Manager relationship,negative
C00866,Inclusion & voice; Pay & benefits,positive
C00867,Manager relationship; Career & progression,negative
C00868,Flexibility & workplace; Manager relationship,positive
C00869,Recognition,negative
C00870,Recognition,positive
C00871,Recognition,negative
C00872,Pay & benefits,positive
C00873,Leadership & communication,negative
C00874,Tools & process,positive
C00875,Tools & process,negative
C00876,Manager relationship; Joining & onboarding,positive
C00877,Inclusion & voice,positive
C00878,Manager relationship,negative
C00879,Leadership & communication,negative
C00880,Workload & staffing; Recognition,positive
C00881,Flexibility & workplace,negative
C00882,Joining & onboarding,positive
C00883,Career & progression; Inclusion & voice,negative
C00884,Flexibility & workplace; Career & progression,negative
C00885,Pay & benefits,negative
C00886,Inclusion & voice,positive
C00887,Recognition,negative
C00888,Manager relationship,positive
C00889,Manager relationship,positive
C00890,Recognition; Manager relationship,negative
C00891,Inclusion & voice,positive
C00892,Recognition,negative
C00893,Manager relationship,negative
C00894,Manager relationship,negative
C00895,Recognition,negative
C00896,Recognition,negative
C00897,Workload & staffing,positive
C00898,Career & progression,negative
C00899,Inclusion & voice,positive
C00900,Inclusion & voice,negative
C00901,Pay & benefits,positive
C00902,Recognition,negative
C00903,Pay & benefits,negative
C00904,Leadership & communication,negative
C00905,Manager relationship,positive
C00906,Pay & benefits; Flexibility & workplace,negative
C00907,Career & progression,negative
C00908,Manager relationship,positive
C00909,Leadership & communication,negative
C00910,Inclusion & voice,positive
C00911,Pay & benefits; Flexibility & workplace,negative
C00912,Leadership & communication,negative
C00913,Inclusion & voice; Career & progression,positive
C00914,Manager relationship,negative
C00915,Leadership & communication; Inclusion & voice,positive
C00916,Recognition,negative
C00917,Inclusion & voice,negative
C00918,Tools & process; Pay & benefits,positive
C00919,Recognition,negative
C00920,Inclusion & voice; Career & progression,positive
C00921,Recognition,negative
C00922,Joining & onboarding,positive
C00923,Workload & staffing; Leadership & communication,positive
C00924,Recognition,negative
C00925,Career & progression; Leadership & communication,negative
C00926,Leadership & communication,positive
C00927,Career & progression,negative
C00928,Inclusion & voice,positive
C00929,Pay & benefits; Manager relationship,negative
C00930,Career & progression,negative
C00931,Flexibility & workplace; Workload & staffing,positive
C00932,Career & progression,negative
C00933,Joining & onboarding,positive
C00934,Tools & process,positive
C00935,Flexibility & workplace,negative
C00936,Inclusion & voice,positive
C00937,Leadership & communication; Manager relationship,negative
C00938,Inclusion & voice,positive
C00939,Career & progression; Joining & onboarding,negative
C00940,Pay & benefits,negative
C00941,Joining & onboarding,positive
C00942,Joining & onboarding,negative
C00943,Pay & benefits,negative
C00944,Pay & benefits,negative
C00945,Flexibility & workplace,negative
C00946,Manager relationship,negative
C00947,Recognition,negative
C00948,Flexibility & workplace; Career & progression,positive
C00949,Flexibility & workplace,negative
C00950,Workload & staffing,negative
C00951,Pay & benefits,negative
C00952,Pay & benefits,negative
C00953,Tools & process,positive
C00954,Joining & onboarding; Career & progression,negative
C00955,Pay & benefits,positive
C00956,Recognition; Flexibility & workplace,negative
C00957,Workload & staffing; Recognition,positive
C00958,Leadership & communication,negative
C00959,Workload & staffing; Inclusion & voice,positive
C00960,Recognition,negative
C00961,Pay & benefits,positive
C00962,Joining & onboarding; Inclusion & voice,positive
C00963,Workload & staffing; Joining & onboarding,positive
C00964,Pay & benefits,negative
C00965,Tools & process,positive
C00966,Recognition,negative
C00967,Joining & onboarding,positive
C00968,Career & progression,negative
C00969,Manager relationship,positive
C00970,Career & progression,negative
C00971,Pay & benefits,negative
C00972,Flexibility & workplace; Tools & process,positive
C00973,Recognition,negative
C00974,Recognition,negative
C00975,Inclusion & voice,positive
C00976,Inclusion & voice,positive
C00977,Tools & process,negative
C00978,Leadership & communication,positive
C00979,Flexibility & workplace; Recognition,negative
C00980,Manager relationship,positive
C00981,Tools & process,positive
C00982,Manager relationship,negative
C00983,Recognition,positive
C00984,Pay & benefits; Manager relationship,positive
C00985,Inclusion & voice,negative
C00986,Workload & staffing,positive
C00987,Manager relationship,positive
C00988,Flexibility & workplace,negative
C00989,Workload & staffing,negative
C00990,Career & progression,positive
C00991,Tools & process,negative
C00992,Workload & staffing; Inclusion & voice,positive
C00993,Inclusion & voice,positive
C00994,Pay & benefits,positive
C00995,Flexibility & workplace,negative
C00996,Joining & onboarding,negative
C00997,Workload & staffing,positive
C00998,Recognition,negative
C00999,Leadership & communication,negative
C01000,Recognition,negative
C01001,Recognition,positive
C01002,Manager relationship,positive
C01003,Leadership & communication,negative
C01004,Inclusion & voice,positive
C01005,Flexibility & workplace,positive
C01006,Pay & benefits,negative
C01007,Recognition; Workload & staffing,negative
C01008,Manager relationship,negative
C01009,Leadership & communication,positive
C01010,Recognition,negative
C01011,Inclusion & voice,positive
C01012,Career & progression,negative
C01013,Career & progression; Manager relationship,negative
C01014,Recognition,positive
C01015,Tools & process,positive
C01016,Manager relationship,positive
C01017,Leadership & communication,negative
C01018,Recognition,negative
C01019,Tools & process,positive
C01020,Career & progression; Workload & staffing,negative
C01021,Leadership & communication; Inclusion & voice,positive
C01022,Pay & benefits,negative
C01023,Manager relationship; Tools & process,positive
C01024,Leadership & communication,positive
C01025,Manager relationship,positive
C01026,Flexibility & workplace,negative
C01027,Manager relationship,positive
C01028,Manager relationship,positive
C01029,Joining & onboarding,negative
C01030,Leadership & communication,negative
C01031,Career & progression,negative
C01032,Career & progression,negative
C01033,Inclusion & voice; Career & progression,positive
C01034,Pay & benefits,negative
C01035,Flexibility & workplace; Manager relationship,positive
C01036,Inclusion & voice,positive
C01037,Flexibility & workplace; Inclusion & voice,negative
C01038,Inclusion & voice,positive
C01039,Pay & benefits; Tools & process,negative
C01040,Flexibility & workplace,negative
C01041,Inclusion & voice,positive
C01042,Flexibility & workplace,positive
C01043,Pay & benefits; Joining & onboarding,positive
C01044,Manager relationship; Flexibility & workplace,positive
C01045,Flexibility & workplace; Leadership & communication,negative
C01046,Inclusion & voice,positive
C01047,Pay & benefits,negative
C01048,Flexibility & workplace,positive
C01049,Pay & benefits,negative
C01050,Flexibility & workplace,negative
C01051,Joining & onboarding,negative
C01052,Recognition,negative
C01053,Flexibility & workplace,positive
C01054,Manager relationship,negative
C01055,Tools & process; Pay & benefits,positive
C01056,Recognition,negative
C01057,Joining & onboarding,positive
C01058,Workload & staffing,positive
C01059,Flexibility & workplace,negative
C01060,Leadership & communication,positive
C01061,Manager relationship; Flexibility & workplace,negative
C01062,Manager relationship,negative
C01063,Recognition,negative
C01064,Joining & onboarding,negative
C01065,Workload & staffing,positive
C01066,Flexibility & workplace,negative
C01067,Manager relationship; Workload & staffing,positive
C01068,Tools & process; Joining & onboarding,negative
C01069,Flexibility & workplace,positive
C01070,Manager relationship,positive
C01071,Career & progression,negative
C01072,Manager relationship,positive
C01073,Leadership & communication,negative
C01074,Joining & onboarding,positive
C01075,Recognition,negative
C01076,Workload & staffing,positive
C01077,Inclusion & voice,negative
C01078,Flexibility & workplace,positive
C01079,Leadership & communication,negative
C01080,Joining & onboarding,negative
C01081,Pay & benefits,positive
C01082,Career & progression,negative
C01083,Pay & benefits,negative
C01084,Leadership & communication; Workload & staffing,negative
C01085,Recognition; Career & progression,positive
C01086,Workload & staffing,positive
C01087,Career & progression,negative
C01088,Inclusion & voice,positive
C01089,Career & progression; Inclusion & voice,negative
C01090,Recognition,negative
C01091,Manager relationship,positive
C01092,Recognition,negative
C01093,Joining & onboarding; Workload & staffing,positive
C01094,Tools & process,negative
C01095,Manager relationship,positive
C01096,Recognition,negative
C01097,Joining & onboarding,negative
C01098,Career & progression,negative
C01099,Recognition,negative
C01100,Tools & process,negative
C01101,Manager relationship; Pay & benefits,positive
C01102,Career & progression,negative
C01103,Workload & staffing,negative
C01104,Manager relationship,positive
C01105,Leadership & communication,positive
C01106,Career & progression,negative
C01107,Tools & process,positive
C01108,Manager relationship,positive
C01109,Leadership & communication,negative
C01110,Manager relationship,positive
C01111,Joining & onboarding,positive
C01112,Manager relationship,positive
C01113,Pay & benefits,negative
C01114,Pay & benefits,negative
C01115,Workload & staffing; Career & progression,negative
C01116,Pay & benefits; Recognition,negative
C01117,Inclusion & voice,positive
C01118,Manager relationship,negative
C01119,Manager relationship; Career & progression,positive
C01120,Tools & process,negative
C01121,Manager relationship; Inclusion & voice,positive
C01122,Pay & benefits,positive
C01123,Career & progression; Leadership & communication,negative
C01124,Inclusion & voice,positive
C01125,Manager relationship,negative
C01126,Inclusion & voice,positive
C01127,Joining & onboarding,positive
C01128,Inclusion & voice,positive
C01129,Recognition,negative
C01130,Career & progression,positive
C01131,Manager relationship,positive
C01132,Tools & process,negative
C01133,Workload & staffing,positive
C01134,Recognition,negative
C01135,Pay & benefits,negative
C01136,Flexibility & workplace,positive
C01137,Pay & benefits,negative
C01138,Inclusion & voice; Tools & process,positive
C01139,Manager relationship,positive
C01140,Pay & benefits,negative
C01141,Tools & process,positive
C01142,Manager relationship,positive
C01143,Career & progression,negative
C01144,Manager relationship; Inclusion & voice,positive
C01145,Manager relationship,negative
C01146,Flexibility & workplace,positive
C01147,Recognition,negative
C01148,Leadership & communication,positive
C01149,Pay & benefits,negative
C01150,Career & progression,positive
C01151,Career & progression,negative
C01152,Joining & onboarding; Leadership & communication,positive
C01153,Recognition,negative
C01154,Inclusion & voice; Workload & staffing,positive
C01155,Career & progression; Manager relationship,negative
C01156,Workload & staffing; Pay & benefits,positive
C01157,Career & progression; Leadership & communication,negative
C01158,Flexibility & workplace,positive
C01159,Career & progression,positive
C01160,Flexibility & workplace,positive
C01161,Pay & benefits; Tools & process,negative
C01162,Recognition,positive
C01163,Pay & benefits; Workload & staffing,negative
C01164,Manager relationship,positive
C01165,Inclusion & voice; Flexibility & workplace,positive
C01166,Pay & benefits; Career & progression,negative
C01167,Recognition,positive
C01168,Pay & benefits,negative
C01169,Career & progression,negative
C01170,Joining & onboarding; Pay & benefits,negative
C01171,Inclusion & voice,positive
C01172,Joining & onboarding; Tools & process,negative
C01173,Manager relationship; Recognition,positive
C01174,Pay & benefits; Workload & staffing,negative
C01175,Manager relationship,positive
C01176,Inclusion & voice; Leadership & communication,positive
C01177,Inclusion & voice; Workload & staffing,positive
C01178,Inclusion & voice,positive
C01179,Pay & benefits,negative
C01180,Inclusion & voice; Tools & process,positive
C01181,Joining & onboarding,positive
C01182,Joining & onboarding,negative
C01183,Leadership & communication; Joining & onboarding,positive
C01184,Manager relationship,positive
C01185,Recognition,negative
C01186,Leadership & communication; Joining & onboarding,positive
C01187,Pay & benefits,negative
C01188,Career & progression,negative
C01189,Manager relationship,positive
C01190,Workload & staffing,negative
C01191,Recognition,negative
C01192,Career & progression,negative
C01193,Inclusion & voice,positive
C01194,Joining & onboarding; Pay & benefits,negative
C01195,Flexibility & workplace; Tools & process,positive
C01196,Manager relationship,negative
C01197,Leadership & communication,positive
C01198,Leadership & communication,negative
C01199,Flexibility & workplace,negative
C01200,Career & progression; Leadership & communication,negative
C01201,Leadership & communication,positive
C01202,Joining & onboarding,negative
C01203,Pay & benefits,negative
C01204,Inclusion & voice,positive
C01205,Recognition,negative
C01206,Career & progression,negative
C01207,Inclusion & voice,positive
C01208,Tools & process,positive
C01209,Recognition; Inclusion & voice,negative
C01210,Pay & benefits,negative
C01211,Workload & staffing,positive
C01212,Recognition,negative
C01213,Tools & process,negative
C01214,Manager relationship,positive
C01215,Manager relationship,positive
C01216,Pay & benefits,negative
C01217,Recognition,positive
C01218,Flexibility & workplace; Leadership & communication,negative
C01219,Leadership & communication,positive
C01220,Joining & onboarding,negative
C01221,Pay & benefits; Joining & onboarding,negative
C01222,Manager relationship,positive
C01223,Tools & process,positive
C01224,Recognition,negative
C01225,Career & progression,positive
C01226,Inclusion & voice,positive
C01227,Inclusion & voice,positive
C01228,Recognition,negative
C01229,Inclusion & voice; Joining & onboarding,positive
C01230,Inclusion & voice,positive
C01231,Career & progression,positive
C01232,Leadership & communication,negative
C01233,Inclusion & voice,positive
C01234,Tools & process,negative
